anime_id,title,genre
33155,Code Geass: Hangyaku no Lelouch Picture Drama - Hajimari no Zenya,"Action, School"
10869,Scan2Go,"Cars, Kids, Shounen, Space, Sports"
12589,3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,"Adventure, Kids"
3981,Shokuzai no Kyoushitsu,Hentai
15813,Majokko Shimai no Yoyo to Nene,"Fantasy, Magic"
36951,Yuu☆Yuu☆Hakusho Special,"Action, Adventure, Comedy, Demons, Supernatural, Martial Arts, Shounen"
33462,Bernard-jou Iwaku.,"Comedy, School"
12569,Himitsu no Akko-chan (Movie),"Magic, School, Shoujo"
34908,Calihara no Uta,"Music, Kids"
1586,Aoi Umi no Tristia,"Adventure, Mecha"
1778,Dae Jang Geum: Jang Geum&#039;s Dream,"Adventure, Comedy, Historical"
20057,Space☆Dandy,"Sci-Fi, Space, Comedy"
18637,Tetsuwan Atom: Ivan no Wakusei - Robot to Ningen no Yuujou,"Action, Mecha, Super Power, Sci-Fi, Shounen"
6828,Ohi-sama to Kaeru,Comedy
30347,Nanatsu no Taizai OVA,"Action, Adventure, Supernatural, Magic, Fantasy, Shounen"
14249,Ribbon no Kishi (1999),Adventure
18893,Aoki Hagane no Arpeggio: Ars Nova,"Action, Sci-Fi, Seinen"
35334,ClassicaLoid 2nd Season,"Music, Comedy"
36755,Juvenile Pornography The Animation,Hentai
3164,Ichigo Ichie: Koibana Tomobana,"Slice of Life, Comedy, School"
2632,Doraemon: Time Machine de Oshougatsu,"Sci-Fi, Adventure, Comedy, Kids, Shounen"
2199,Chirin no Suzu,"Adventure, Drama, Fantasy"
1286,MD Geist II: Death Force,"Mecha, Military, Sci-Fi"
34561,Re:Creators,"Action, Sci-Fi, Fantasy"
515,Hajimari no Boukensha-tachi: Legend of Crystania,"Action, Adventure, Fantasy, Magic, Supernatural"
33907,Magical Music Train,Music
238,Rekka no Honoo,"Action, Adventure, Martial Arts, Shounen, Super Power"
5990,Cosmic Fantasy: Ginga Mehyou no Wana,"Action, Sci-Fi, Space, Comedy, Romance, Fantasy"
27989,Hibike! Euphonium,"Music, School, Drama"
36838,Gintama.: Shirogane no Tamashii-hen,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen"
1200,Gun-dou Musashi,"Adventure, Samurai, Fantasy"
32644,Yaseruyagi,
2769,Galactic Patrol Lensman,"Action, Adventure, Sci-Fi"
24031,Denki-gai no Honya-san,"Comedy, Seinen, Slice of Life"
37421,MaxValu Kyushu,Slice of Life
3975,Uchi no 3 Shimai,"Comedy, Slice of Life"
29583,Kuroko no Basket: Oshaberi Demo Shimasen ka,"Comedy, Sports, School, Shounen"
22839,Cross Road,"Slice of Life, School"
10935,Hourou Musuko Specials,"Drama, School"
37711,Koi to Uso OVA,"Drama, Romance, School"
9880,Esper Mami: Hoshizora no Dancing Doll,"Fantasy, Shounen"
37435,Carol & Tuesday,"Drama, Music, Romance"
14007,"Akai Shouzou: Char, Soshite Frontal e","Drama, Mecha, Military, Sci-Fi, Shounen, Space"
17147,Gakkatsu! 2nd Season,"Comedy, School"
28023,Tsuru no Sugomori,Kids
22273,Selector Infected WIXOSS,"Game, Psychological"
33885,Hane (2016),Music
11769,Gokujo.: Gokurakuin Joshikou Ryou Monogatari,"Comedy, Ecchi, School, Seinen, Shoujo Ai"
3232,Bannou Bunka Neko-Musume Specials,"Action, Adventure, Comedy, Mecha, Sci-Fi, Seinen"
10250,Ultra B,"Comedy, Super Power"
15771,Saint☆Oniisan (Movie),"Comedy, Seinen, Slice of Life"
1360,Makai Tenshi Djibril,Hentai
8986,Supernatural The Animation,"Action, Demons, Horror, Supernatural"
4590,Soukan Yuugi,Hentai
3675,Andromeda Stories,"Action, Drama, Fantasy, Sci-Fi, Space"
33153,Houkago Initiation,Hentai
33337,ACCA: 13-ku Kansatsu-ka,"Mystery, Police, Drama, Fantasy, Seinen"
1396,Future GPX Cyber Formula: Early Days Renewal,"Drama, Sci-Fi, Shounen, Sports"
23855,Dennou Sentai Voogie&#039;s★Angel Gaiden: Susume! Super★Angels!,"Action, Comedy, Mecha, Parody, Sci-Fi"
2687,Gokuu no Daibouken,"Comedy, Fantasy"
29543,Kitty to Daniel no Suteki na Christmas,Kids
34350,Alice to Zouroku,"Adventure, Mystery, Seinen"
36982,Micchiri Neko,"Comedy, Kids"
534,Slayers,"Adventure, Comedy, Demons, Magic, Fantasy"
32032,Seikaisuru Kado,Sci-Fi
30694,Dragon Ball Super,"Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power"
19889,Genshiken Nidaime Specials,"Comedy, Parody, Slice of Life"
988,Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,"Action, Comedy, Historical, Military, Samurai"
29389,Shiro Hon,"Adventure, Kids"
14355,Yama no Susume,"Adventure, Slice of Life, Comedy"
11827,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,"Action, Fantasy, Hentai"
35240,Princess Principal,"Action, Mystery, Historical"
10197,Nyanpire The Animation,"Comedy, Supernatural, Vampire"
15279,Kira Kira 5th Anniversary Live Anime: Kick Start Generation,Music
1587,Tenpou Ibun: Ayakashi Ayashi,"Supernatural, Demons, Historical"
32621,Pokopon no Yukai na Saiyuuki,"Adventure, Fantasy, Kids, Magic, Martial Arts"
10588,Persona 4 the Animation,"Sci-Fi, Adventure, Mystery, Super Power, Supernatural, School"
6922,Fate/stay night Movie: Unlimited Blade Works,"Action, Fantasy, Magic, Supernatural"
17649,Udauda Yatteru Hima wa Nee!,"Action, Comedy, School, Shounen"
35781,Boku dake no Hentai Kanojo The Animation,Hentai
33600,Menghuan Xiyou,"Action, Adventure, Fantasy, Historical, Magic"
3254,Luv Wave,"Action, Drama, Hentai, Horror, Mystery, Police, Romance, Sci-Fi"
4851,Lupin III: Seven Days Rhapsody,"Action, Adventure, Comedy, Seinen"
35759,Sidonia no Kishi 3,"Action, Sci-Fi, Space, Mecha, Seinen"
10627,Ski Jumping Pairs: Road to Torino 2006,"Sports, Comedy"
15211,Nazotoki-hime wa Meitantei♥,"Mystery, Shoujo"
13965,Thermae Romae x LOFT Collaboration,"Comedy, Historical, Seinen"
6702,Fairy Tail,"Action, Adventure, Comedy, Magic, Fantasy, Shounen"
34975,Marvel Future Avengers,"Action, Super Power, Kids"
18071,Chalk-iro no People,"Romance, Seinen"
19841,Super Seisyun Brothers,"Comedy, Josei, Slice of Life"
24641,Baku Ane: Otouto Shibocchau zo! The Animation,Hentai
24021,Sei Shoujo The Animation,Hentai
4480,Ryoujoku Guerrilla Kari 3,Hentai
37223,Ore ga Kanojo wo *su Wake,Hentai
5199,Seto no Hanayome Fan Disc,"Comedy, Parody, School"
22225,Momo Kyun Sword,"Comedy, Ecchi, Fantasy"
9442,Bust to Bust: Chichi wa Chichi ni,Hentai
33274,Onara Gorou,Comedy
32484,A-Size Classmate,Hentai
35138,Taikong Lixianji,"Action, Sci-Fi, Kids, Mecha"
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi"
21267,Go! Go! 575,Slice of Life
36289,Daybreak Interlude,Music
221,Mezzo Forte,"Action, Comedy, Hentai, Sci-Fi"
9546,Shirahata no Shoujo Ryuuko,Drama
1483,Master Keaton,"Adventure, Mystery"
2343,Choujin Densetsu Urotsukidouji: Mirai-hen,"Fantasy, Hentai, Demons, Horror, Sci-Fi"
32518,Shoujo kara Shoujo e...,Hentai
1640,Angel&#039;s Feather,"Sci-Fi, Supernatural, Drama, Romance, Fantasy, Shounen Ai"
35314,"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou","Action, School, Shounen"
34476,Platonic Chain: Ansatsu Jikkouchuu,"Sci-Fi, Slice of Life"
7082,Shugo Chara! Party!,"Comedy, Magic, School, Shoujo"
35952,Devilman Memorial,"Action, Horror, Demons, Supernatural"
10521,Working&#039;!!,"Slice of Life, Comedy, Romance"
3335,Haikara-san ga Tooru,"Slice of Life, Romance, Historical, Drama, Shoujo"
3540,Henbou Moral Hazard,Hentai
8879,Dolphin Ouji,"Action, Adventure, Kids, Sci-Fi"
5993,Samayou Midara na Lunatics,Hentai
22493,Pochacco no Jack to Mame no Ki,"Kids, Fantasy"
2710,Nintama Rantarou Movie,"Comedy, Shounen"
594,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,"Action, Adventure, Comedy, Shounen, Super Power"
23229,Meshimase Lodoss-tou Senki: Sorette Oishii no?,Comedy
2520,Dragon Ball Specials,"Fantasy, Comedy, Super Power, Shounen"
20087,Treasure Gaust,Game
34779,Ar:pieL - 6-seosgaeui Unmyeong,"Action, Fantasy"
4130,Petit Eva: Evangelion@School,"Comedy, Parody, School"
1479,City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo,Shounen
27727,Binan Koukou Chikyuu Boueibu LOVE!,"Slice of Life, Comedy, Parody, Magic, School"
25461,Tatamp,Music
16780,Gongnyong Baengmannyeon Ttori,"Action, Adventure, Shounen"
2617,Ghiblies,Comedy
33094,WWW.Working!!,"Slice of Life, Comedy"
31309,Balloon,Dementia
33808,Girlfriend (Note),"Music, School"
23765,Yamiyo no Jidaigeki,"Historical, Horror"
8373,Shin Mitsubachi Maya no Bouken,"Adventure, Comedy"
209,R.O.D the TV,"Action, Adventure, Comedy, Drama, Sci-Fi, Super Power"
33358,Mahou no Star Magical Emi: Finale! Finale!,"Comedy, Magic, Shoujo"
30065,Osamishi Tani no Wakare Uta,"Music, Historical"
19669,Kuroko no Basket: Baka ja Katenai no yo!,"Sports, Comedy, School, Shounen"
30721,Hacka Doll The Animation,"Comedy, Sci-Fi"
28369,Dr. Slump: Arale-chan Specials,"Sci-Fi, Comedy, Shounen"
10823,Ranma ½: 1994 Music Calendar,"Slice of Life, Martial Arts, Comedy"
9509,Yami no Purple Eye,"Psychological, Supernatural, Music, Horror, Mystery, Shoujo"
13047,Anime Koukyoushi: Jungle Taitei,"Adventure, Kids, Shounen"
2689,Akai Koudan Zillion: Utahime Yakyoku,"Sci-Fi, Adventure"
16163,Sore Ike! Anpanman: Kirakira Boshi no Namida,"Kids, Adventure, Comedy, Super Power"
24073,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www,"Fantasy, Comedy"
27849,Nezumi-kun no Chokki,Kids
7953,Defend Love,"Adventure, Fantasy, Magic, Mecha, Romance, Super Power, Supernatural, Music, Sci-Fi"
3844,Apache Yakyuugun,"Action, Sports, School"
31699,Good Morning!!! Doronjo,"Comedy, Parody"
7593,Kiss x Sis (TV),"Harem, Comedy, Romance, Ecchi, School, Seinen"
35935,Koto no Shidai,"Music, Dementia"
8897,Ganbare! Marine Kid,"Action, Adventure, Sci-Fi, Kids"
7411,Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,"Harem, Hentai"
30450,Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!,"Comedy, Sci-Fi, Shounen"
34859,Tick Tock,Music
5154,Kanzen Mushusei: Sorezore no Houkago,"Hentai, School"
35139,Crayon Shin-chan x Panpaka Pants: Aeon Cinema Manner Movie Collab,Comedy
1388,Yakin Byoutou Ni,Hentai
22,Tennis no Ouji-sama,"Action, Comedy, Sports, School, Shounen"
2953,Egao,"Music, Slice of Life, Kids"
32219,Raldessia Chronicles,"Action, Adventure"
1016,Gunnm,"Drama, Mecha, Sci-Fi, Shounen"
35505,Velvet Underworld: Alternative,"Action, Music"
6822,Ukkari Pénélope (2009),"Comedy, Slice of Life"
2051,Akai Kiba: Blue Sonnet,"Action, Drama, Sci-Fi, Shoujo, Super Power"
5943,The Aurora: Umi no Aurora,"Adventure, Sci-Fi"
11583,Kami nomi zo Shiru Sekai: Natsu-iro Surprise,Music
7155,Beat Shot!!,Sports
34943,T7S Longing for Summer Again and Again: Harukaze,"Music, School"
34430,Detective Conan Movie 21: The Crimson Love Letter,"Action, Mystery, Historical, Police, Drama, Romance"
9627,Kakko Kawaii Sengen!,Comedy
12563,Punky Funky Baby,Hentai
36398,Na mo Nai Hana no Youni,Music
6727,Mechakko Dotakon,"Comedy, Sci-Fi"
22495,Hello Kitty no Yume no Oshiro no Ouji-sama,"Fantasy, Kids"
7745,Zettai Karen Children OVA: Aitazousei! Ubawareta Mirai?,"Action, Comedy, Shounen, Supernatural"
8671,Raja Maharaja,"Music, Slice of Life"
10824,Ranma ½: DoCo Music Video,"Comedy, Martial Arts, Music, Slice of Life"
34692,Umbrella Fighter!,Slice of Life
24999,Akai Jitensha,"Music, Kids"
31698,Zhan Long Si Qu,"Kids, Cars"
31972,Tang Lang Bu Chan,Historical
4804,To Heart 2 AD Plus,Romance
8719,Donna Donna,"Music, Slice of Life, Kids"
1160,Gundress,"Action, Mecha, Sci-Fi"
353,Ojamajo Doremi Dokkaan!,"Comedy, Magic, Shoujo"
26349,Danna ga Nani wo Itteiru ka Wakaranai Ken,"Slice of Life, Comedy, Romance, Seinen"
2762,Igano Kabamaru,"Action, Adventure, Comedy, Romance, School, Shounen"
32792,Mobile Suit Gundam Unicorn RE:0096,"Action, Drama, Mecha, Military, Sci-Fi, Space"
15809,Hataraku Maou-sama!,"Comedy, Demons, Supernatural, Romance, Fantasy"
11049,Shin Maple Town Monogatari: Palm Town-hen - Konnichiwa! Atarashii Machi,"Slice of Life, Fantasy"
3627,D.C.II S.S.: Da Capo II Second Season,"Fantasy, Comedy, Harem, Romance, Drama"
33126,Kurogane no Linebarrels Picture Drama,Mecha
30814,Landscape,Dementia
20085,Only You: Viva! Cabaret Club,Comedy
2205,Bakuretsu Tenshi: Infinity,"Action, Comedy, Mecha, Sci-Fi, Shounen"
17535,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,"Fantasy, Magic, Shounen"
1151,Dominion,"Sci-Fi, Comedy, Police, Mecha"
2025,Darker than Black: Kuro no Keiyakusha,"Action, Sci-Fi, Mystery, Super Power"
15125,Teekyuu,"Comedy, School, Shounen, Sports"
7193,Aoi Bungaku Series,"Psychological, Historical, Thriller, Drama, Seinen"
27621,Glass no Kamen Desu ga to Z,"Comedy, Parody"
10149,Mofa Ya Ma,"Adventure, Fantasy"
13585,Natsuyuki Rendezvous,"Supernatural, Drama, Romance, Josei"
1969,Mobile Suit Zeta Gundam: A New Translation III - Love Is the Pulse of the Stars,"Military, Sci-Fi, Space, Drama, Mecha"
3813,Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan,"Fantasy, Mystery, Romance, Shoujo"
22295,Juuza Engi: Engetsu Sangokuden - Gaiden Youzhou Genya,"Historical, Romance, Fantasy, Josei"
8518,Mai-Otome Special: Otome no Inori,"School, Slice of Life"
808,Bakuretsu Hunters OVA,"Action, Adventure, Harem, Comedy, Super Power, Magic, Romance, Ecchi, Fantasy, Shounen"
6890,Ontama!,"Slice of Life, Magic, Comedy, Seinen"
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),"Drama, Psychological, School, Slice of Life"
1547,Obake no Q-tarou,"Comedy, School, Slice of Life, Supernatural"
6907,Mikan-Seijin,Comedy
35328,BOY&#039;s LOVE Nitro+CHiRAL,"Comedy, Parody"
2884,Aachi wa Ssipak,"Action, Comedy"
32933,Xiao Yeyou,"Comedy, Fantasy, Kids"
34432,Balloon (Music),Music
37150,Douluo Dalu,"Action, Adventure, Historical, Romance, Martial Arts, Fantasy"
13677,Ao no Exorcist Movie Special,"Parody, Comedy"
4250,Kore ga UFO da! Soratobu Enban,"Sci-Fi, Space"
7836,Notari Matsutarou,Sports
12663,Patalliro! Stardust Keikaku,"Adventure, Comedy, Romance, Shoujo, Shounen Ai"
13169,Buta,"Adventure, Comedy, Fantasy, Historical"
3707,Soukou Kijo Iris,Hentai
18819,Alice Tantei Kyoku,"Mystery, Kids, Fantasy"
9074,Arakawa Under the Bridge x Bridge,"Comedy, Romance, Seinen"
35503,Shoujo☆Kageki Revue Starlight,"Music, School"
446,Weiß Kreuz Glühen,"Action, Drama, Shounen"
1379,Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,"Adventure, Drama, Fantasy"
1693,Reideen,"Action, Mecha, Sci-Fi"
37789,Tenchi Muyou! Ryououki 3rd Season Picture Drama,"Slice of Life, Comedy"
22197,Yuuto-kun ga Iku Movie,"Kids, Sports"
15819,Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen,"Mystery, Shounen"
25441,Shin Strange+ Special,"Slice of Life, Comedy, Josei"
30392,Joukyou Monogatari,Slice of Life
2476,School Days,"Harem, Drama, Romance, School"
19871,Gaist Crusher,"Action, Fantasy, Supernatural"
18,Initial D Fourth Stage,"Action, Cars, Sports, Drama, Seinen"
10236,Kagee Grimm Douwa,"Kids, Adventure, Fantasy, Magic, Romance, Supernatural, Demons, Historical, Drama"
3194,Ningyohime Marina no Bouken,"Drama, Fantasy, Kids, Romance"
31014,Aru Zombie Shoujo no Sainan,"Action, Horror"
5060,Hetalia Axis Powers,"Comedy, Historical, Parody"
5322,Mugen Kouro,"Action, Sci-Fi, Space"
546,Wind: A Breath of Heart (TV),"Drama, Romance, School, Supernatural"
22617,Pochacco no Wakuwaku Birthday,"Fantasy, Kids"
5466,Mahoutsukai Tai! vs. Shamanic Princess,"Comedy, Magic, Fantasy"
33915,Kitty-chan wo Sagase! Toyama-shi Stamp Rally,Comedy
7625,Yousei Dick,"Fantasy, Kids"
33135,Kachikachi Yama (1940),Fantasy
10244,Ultra B: Black Hole kara no Dokusaisha BB!!,"Adventure, Comedy"
5624,Biohazard 4D-Executer,"Action, Adventure, Military, Horror"
34644,Brave Witches: Petersburg Daisenryaku,"Action, Military, Sci-Fi, Magic, Ecchi"
6653,Ginga Tetsudou 999: Glass no Clair,"Drama, Sci-Fi, Space"
33154,Osiris no Tenbin: Season 2,"Drama, Supernatural, Thriller"
10249,Toaru Majutsu no Index-tan II,"Comedy, Parody"
2618,Takarajima,"Adventure, Mystery, Historical, Drama"
35982,Gundam Build Fighters: GM no Gyakushuu,"Action, Sci-Fi, Mecha"
1921,Urusei Yatsura Movie 2: Beautiful Dreamer,"Action, Adventure, Comedy, Romance, Drama, Sci-Fi"
31599,Kaette Kite yoo Toyama kara,"Slice of Life, Mystery, Comedy"
1105,Digital Juice,"Comedy, Psychological"
31073,Show By Rock!!: Plasmagica na Gogo,Comedy
9754,Kuragehime: Eiyuu Retsuden☆,"Slice of Life, Comedy, Josei"
33217,Hikaru Genji: Paradise Ginga,"Music, Space"
14889,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu OVA,"Comedy, Ecchi, Parody, School, Shounen"
29830,Tamayura: Sotsugyou Shashin Part 3 - Akogare,"Comedy, Drama, Slice of Life"
23475,Saimin Jutsu Zero Special,Hentai
1259,Saint Seiya: Tenkai-hen Josou - Overture,"Adventure, Sci-Fi, Shounen"
459,One Piece Movie 1,"Action, Adventure, Comedy, Super Power, Fantasy, Shounen"
18533,Jungle Taitei Leo: Hon-o-ji,"Adventure, Drama"
26337,Minna no Doutoku,"Drama, Fantasy, Historical, Kids, School"
26301,Donguri to Yamaneko (1995),"Demons, Drama, Kids"
790,Ergo Proxy,"Sci-Fi, Mystery, Psychological"
2661,Doraemon Movie 13: Nobita to Kumo no Oukoku,"Adventure, Comedy"
31486,Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,"Comedy, Mystery, Super Power"
1130,Windaria,"Action, Drama, Fantasy, Romance, Sci-Fi"
10016,Kizuna Ichigeki,"Martial Arts, Comedy"
4918,xxxHOLiC Shunmuki,"Mystery, Comedy, Psychological, Supernatural, Drama"
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"Drama, Historical, Josei"
1149,Choujuushin Gravion Zwei,"Adventure, Comedy, Mecha, Sci-Fi, Shounen"
37208,Mo Dao Zu Shi,"Action, Adventure, Mystery, Comedy, Historical, Supernatural, Shounen Ai"
8290,Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,Hentai
3747,Inyouchuu The Animation,"Hentai, School, Supernatural"
30199,Hakimono to Kasa no Monogatari,"Music, Kids"
33670,Xingji Biaoche Wang,"Action, Adventure, Cars"
